word,beta,psi,highlight
defence,0.28697213495719787,7.554042911297689,none
japan,-1.069368467533661,5.845300784995316,blue
  ,0.32646049999395305,9.18882788437503,none
onodera,-2.758690515704366,1.0100470466760048,none
minister,0.3976324149636073,5.369629036018013,none
   ,0.0018950806279037532,6.128323264039485,none
year,0.4903287424651993,4.610645638002953,none
anniversary,1.0924196236365535,3.278993159280973,none
establishment,0.8735199259253518,4.189226391781603,none
ministry,0.5974553102070405,4.838325667565154,none
mod,-3.7993381943250246,2.0659668529214943,none
self-defense,0.0058009639239929136,3.7197728259909524,none
forces,-0.06962236545772872,6.481191045992143,none
sdf,-4.5609820483119465,2.7872414565592822,none
national,1.0022021122754279,5.931640297572421,none
security,0.07964008919267206,6.602809557293246,none
council,0.1383211103050163,4.228003366075778,none
launched,0.28273166039284625,3.7550084066244462,none
end,-0.20049883764437681,4.098013293098544,none
also,0.6187269370319635,5.749136213416521,none
fi,-3.2615664069952675,1.5330854561153118,none
rst,-2.914059336765478,1.174700347540234,none
ever,0.5391706415231774,2.281281427160898,none
strategy,0.02473352954487715,4.790390208236533,none
accordance,0.929604162552376,3.3298307799312665,none
new,0.028648761991881468,5.502600333022732,none
program,0.2597997707266492,4.374600858613205,none
guidelines,-0.4251027200188604,3.5992676839611963,none
ndpg,-2.914059336765478,1.174700347540234,none
term,-0.3652664056421106,3.247183467645421,none
approved,-1.3411498624113019,1.6369172294131409,none
moreover,-0.2717473379486228,2.9801487568598533,none
basic,0.4631957614053637,4.354609306498344,none
development,0.53750279352357,5.423034676193656,none
legislation,0.2447789179894497,2.3584744841172367,none
ensure,0.3799575827761043,4.1692419886587695,none
protect,-0.1753843229822473,3.931842624003252,none
people,0.4088556274277944,4.488463655939482,none
cabinet,-0.754011681265844,3.208386452695227,none
decision,0.20682606523909547,2.925703796778635,none
july,0.9320721546709442,4.428321452856059,none
order,0.13172887736989597,5.362708779660032,none
secure,0.6175964536606525,3.7612993073254684,none
lives,0.44817822737646623,2.9080294670183786,none
peaceful,1.2189786354632968,2.7664037027224113,none
contribute,0.8060006729539552,3.41755608988185,none
even,-0.5844114330305508,3.7770959580155226,none
proactively,0.05470847926546826,2.4950115074698234,none
peace,0.38182888319672437,5.16235737808525,none
stability,-0.25274191912980976,4.679535924237123,none
international,0.07201843844968381,5.757800840123931,blue
community,0.7936880376076292,4.051415667788634,none
take,0.5510426266727116,3.6939491098902475,none
step,-0.17126165256492124,2.6573311335618257,none
form,-0.06731528691038664,2.582664827966319,none
history,0.9414749038675749,2.4819202037212014,none
en,-2.5696285996775385,0.8053653421992772,none
nation,-0.3291644126423516,3.655888174045651,none
maintain,-0.4904583011373494,4.402146084958366,none
region,-0.5985295814513106,5.586820306989033,none
course,0.10879359090048242,2.7077460304451093,none
taken,-1.0464262612161659,2.453983930607958,none
date,1.3742079356146735,3.56585383000841,none
policy,0.42069270376094076,4.934998697323639,none
proactive,-0.14644072208240264,2.485624766070237,none
contribution,-0.30303857460552,2.7519866158413078,none
based,0.03808700935364479,5.365465261123098,none
principle,-0.09477782025028278,2.6023917285850504,none
cooperation,0.5693098592897375,6.096512884362831,none
activities,0.01909948837028258,5.419070220049132,none
securing,1.0209286118571337,3.0821569801893625,none
property,0.7632076891182705,2.4411601500866698,none
territorial,-0.522213923551171,3.359279576799172,none
mongolia,-0.056075358702299884,4.34173111046641,none
waters,0.05515134081659946,3.950455374661136,none
airspace,-0.7150798934319857,4.0414297313108305,darkgreen
becoming,0.6556799741314571,2.5179656539899233,none
critical,-0.44165384994935025,3.468311761117423,none
environment,0.008828001569429195,5.264282792301994,none
surrounding,-0.6201446461189558,3.5158675046277352,none
since,0.534028052508648,4.88322210399747,none
taking,0.02630146072128281,3.3422619474308317,none
offi,-2.6902057987569234,0.9364826184064067,none
ce,-2.901507258624372,1.161507964077164,none
made,0.5104736242408509,4.2156820216949695,none
point,-0.32430452487187306,3.458593914852178,none
many,-0.014713814448129508,3.37146553638847,none
bases,-0.2690049887784204,4.111574626738522,none
possible,-0.6531267904792301,3.2531407039961384,none
far,-0.8983637059837384,1.951469180121529,none
north,1.2433670402311003,6.193693143794485,none
south,0.9562515037269421,4.867526235901856,none
okinawa,-2.3745176091601645,3.0497672363653408,none
furthermore,-1.315590826440657,4.233580928036121,none
visited,0.06636641345619057,3.5857462959851163,none
philippines,0.13366767676527505,4.131192761561999,none
december,0.6134450416177191,5.021792815460762,none
visit,0.1940051455806515,3.014994143902316,none
sudan,0.439150055127889,3.4118673092910523,none
may,0.6153003281849937,4.844221566737238,none
personnel,0.02641336711642251,5.98136004352272,none
engaged,-1.0140944617708414,2.430297400144435,none
disaster,-0.45402314606187166,4.880407905484579,none
relief,-0.48363657607788224,4.594918511199214,none
operations,0.2961596241665956,5.8256209199589195,none
carrying,1.1631956171741358,2.8060578887381014,none
duties,0.4655534663830695,3.7844884556077396,none
manner,1.0143210115054038,3.5326832175205722,none
high,0.24007166063415655,3.676014848409691,none
domestic,0.33017593562848774,3.819855599620788,none
years,-0.6166339540704192,5.184066164224188,none
however,0.5022209782984269,4.2215295396615256,none
still,0.5812407021298585,2.658494926882913,none
one,0.44430287770736326,4.983446417195216,none
understanding,-0.2730946644147633,4.078138646039195,none
remains,0.5242442154610341,4.832416313963312,none
essential,-0.7841518940776209,2.544458598058078,none
general,0.5892685163033767,4.7038261120080085,none
agency,1.2397215825739425,3.787669992299439,none
published,-1.3423231078713365,2.9498845918458505,none
issue,0.4219061587748729,3.900089238318286,none
annually,0.95136062821567,2.3943451160836564,none
countries,0.08706734477810936,5.810003421209844,none
policies,-0.15469486570560503,4.649263537276081,none
annual,0.6605918142114225,2.825875510629468,none
due,0.20962988157853704,4.465227155252776,none
transparency,-0.32310107094500584,3.5266084039408514,none
status,1.0488811846555666,4.215133498992209,none
continue,0.018044951035512867,4.879686554190392,none
quality,0.9142552886208677,2.770903270839347,none
deepen,-0.7841518940776209,2.544458598058078,none
includes,-0.007785839595370153,3.812806040209918,none
article,-0.01909867089292611,3.0869368132450283,none
takes,0.7384704433522766,2.7703975888775654,none
well,-0.2296413640288194,4.721413569812204,none
dynamic,-0.3293005264853261,2.4358499919485874,none
joint,-0.036213506476395596,5.876712073907076,none
force,0.18898492427188354,6.138297068102936,none
developed,0.5687962840973615,4.077108482021334,none
set,0.5706125472789603,3.767189166928581,none
clear,-0.03274541991356961,2.2215071603405647,none
addition,-0.6560621414026488,4.519651707760088,none
review,-0.8066637564525553,4.715954948887632,none
efforts,0.47325780443910237,4.8881244508680854,none
island,1.2935454609407204,4.317138764650744,none
former,-0.12932963955425034,2.9834508789866963,none
director,0.21457768387892215,3.7682732200733704,none
prime,-0.36740824977028924,3.5581699650063863,none
january,0.018132166032350867,4.795065704566973,none
following,-0.8338790128142852,3.890450236951356,none
projects,1.3572594969109495,4.20228396272454,none
much,-0.6199924193221708,2.9796459634150945,none
effort,0.02441959309046527,3.279055354557578,none
although,-0.7880602863070398,2.94766899879036,none
possibility,0.009513156911660598,2.1909619257909565,none
considered,-1.0287960086518606,2.0486357409565867,none
became,0.16723003832426805,2.665914473405145,none
realized,-1.3124344612013745,1.6145692585148737,none
time,-0.14802269392281442,5.214983157282599,none
war,0.9070217193549313,4.79851249041721,none
military,1.3886189592966223,6.698149789940549,none
towards,0.5305501059952284,3.1554874262161032,none
strong,-0.23392069022587933,3.9734179300409664,none
become,-0.492351564470442,4.156967397801198,none
target,0.256990108080348,2.8899035241764603,none
parties,-0.9912471102030602,2.9142116787074164,none
public,0.9788442118107215,4.699643422182132,none
sense,0.1818493390576598,2.2491888169968886,none
subject,0.7686799424760299,2.5247227033458186,none
