chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
20,1. 10. [UNK] эв нэгдлииг эрхэмлэх ; 4. 1. 11. нээлттэи баих.,60,12,44,3,mongolia_2016_DefenseUpdate_noneng.md,2025-01-28 18:57:10
21,# # 5 дугаар [UNK]. батлан хамгаалах [UNK] ажиллагаа 5. 1. батлан хамгаалах нь монгол улсын [UNK] [UNK] баидлыг хангах [UNK] ажиллагааны [UNK] хэсэг [UNK]. 5. 2. батлан хамгаалах [UNK] ажиллагааны,196,31,130,4,mongolia_2016_DefenseUpdate_noneng.md,2025-01-28 18:57:10
22,"зорилго нь монгол улсын тусгаар тогтнол, [UNK] эрхт баидал, нутаг дэвсгэриин [UNK] [UNK] баидал, улсын хилиин [UNK] дархан баидлыг хамгаалах, иргэнии [UNK] баидлыг хангахад орши",177,25,130,4,mongolia_2016_DefenseUpdate_noneng.md,2025-01-28 18:57:10
23,"##но. 5. 3. батлан хамгаалах чадавх нь улсын эдиин засаг, [UNK] амын [UNK] мэнд, боловсрол, [UNK] цэргиин баигууллын чадавх, мэдээллиин болон улс [UNK] - дипломатын [UNK] [UNK] хангагдана.",188,28,132,4,mongolia_2016_DefenseUpdate_noneng.md,2025-01-28 18:57:10
24,"5. 4. улсыг батлан хамгаалах зорилго [UNK] улс [UNK], эдиин засаг, ниигэм, эрх [UNK], цэргиин арга хэмжээ нь нэгдмэл баина. 5. 5. [UNK] амыг гамшиг, гэнэтиин бусад аюул, аливаа [UNK] х",184,31,130,4,mongolia_2016_DefenseUpdate_noneng.md,2025-01-28 18:57:10
25,"##эрэгслиин [UNK] хамгаалах нь батлан хамгаалах [UNK] ажиллагааны [UNK] хэсэг [UNK] нэгдсэн [UNK], нэгдмэл тогтолцоотои баина. 5. 6. даин [UNK] баидал, даины баидал зарласан [UNK] батлан хам",190,27,132,4,mongolia_2016_DefenseUpdate_noneng.md,2025-01-28 18:57:10
26,##гаалах [UNK] ажиллагаатаи холбогдсон харилцааг хуулиар зохицуулна.,68,7,59,4,mongolia_2016_DefenseUpdate_noneng.md,2025-01-28 18:57:10
27,"# # 6 дугаар [UNK]. улсыг батлан хамгаалах [UNK] [UNK] 6. 1. эх орныхоо тусгаар тогтнолыг батлан хамгаалах нь [UNK] [UNK] [UNK]. [UNK] нь улсыг батлан хамгаалах нэгдмэл тогтолцоог [UNK], [UNK]. 6. 2.",199,33,130,5,mongolia_2016_DefenseUpdate_noneng.md,2025-01-28 18:57:10
28,"монгол улс гадны зэвсэгт халдлага, [UNK] [UNK] зэвсэгт [UNK] няцааж, ард [UNK] оролцоотоигоор хамгаалах [UNK] шаардлагатаи тохиолдолд олон улсын баигууллага, бусад улсын",169,22,130,5,mongolia_2016_DefenseUpdate_noneng.md,2025-01-28 18:57:10
29,тусламжииг авч болно.,21,3,20,5,mongolia_2016_DefenseUpdate_noneng.md,2025-01-28 18:57:10
30,"# # 7 дугаар [UNK]. батлан хамгаалах тогтолцоо 7. 1. монгол улсын батлан хамгаалах тогтолцооны [UNK] нь [UNK], захиргааны баигууллага, ниит иргэнии оролцоонд тулгуурлас",168,24,130,6,mongolia_2016_DefenseUpdate_noneng.md,2025-01-28 18:57:10
31,"##ан орон нутгиин хамгаалалт, мэргэжлиин цэрэгт суурилсан зэвсэгт [UNK], нэгдмэл удирдлага, [UNK] [UNK] даичилгаа баина. 7. 2. монгол улс орон нутгиин хамгаалалтад тулгуу",170,23,133,6,mongolia_2016_DefenseUpdate_noneng.md,2025-01-28 18:57:10
32,##рласан батлан хамгаалах нэгдмэл тогтолцоог [UNK]. 7. 3. орон нутгиин хамгаалалт нь монгол улсын [UNK] хамгаалах стратеги [UNK] [UNK] [UNK] шатны баигууллагын хамтын ажиллагаа,176,24,132,6,mongolia_2016_DefenseUpdate_noneng.md,2025-01-28 18:57:10
