"","file_names","country_name","year","title","language"
"247","elsalvador_2006_LibroDeLaDefensaNational_noneng.pdf","elsalvador","2006","Libro De La Defensa National","noneng"
"248","estonia_2001_NationalSecurityConcept.pdf","estonia","2001","National Security Concept","eng"
"249","estonia_2004_NationalSecurityConcept.pdf","estonia","2004","National Security Concept","eng"
"250","estonia_2005_ForeignPolicyYearbook.pdf","estonia","2005","Foreign Policy Yearbook","eng"
"251","estonia_2009_LongTermDefenceDevelopmentPlan.pdf","estonia","2009","Long Term Defence Development Plan","eng"
"252","estonia_2010_NationalSecurityConcept.pdf","estonia","2010","National Security Concept","eng"
"253","estonia_2011_NationalDefenceStrategy.pdf","estonia","2011","National Defence Strategy","eng"
"254","estonia_2013_LongTermDefenceDevelopmentPlan.pdf","estonia","2013","Long Term Defence Development Plan","eng"
"255","estonia_2013_NationalDefenceDevelopmentPlan.pdf","estonia","2013","National Defence Development Plan","eng"
"256","estonia_2016_InternationalSecurityAndEstonia.pdf","estonia","2016","International Security And Estonia","eng"
"257","estonia_2017_NationalDefenseDevelopmentProgram.pdf","estonia","2017","National Defense Development Program","eng"
"258","estonia_2017_NationalSecurityConcept.pdf","estonia","2017","National Security Concept","eng"
"259","estonia_2021_InternationalSecurityAndEstonia.pdf","estonia","2021","International Security And Estonia","eng"
"260","estonia_2023_InternationalSecurityAndEstonia.pdf","estonia","2023","International Security And Estonia","eng"
"261","estonia_2023_NationalSecurityConcept.pdf","estonia","2023","National Security Concept","eng"
"262","ethiopia_2002_ForeignAffairsAndNationalSecurityPolicy.pdf","ethiopia","2002","Foreign Affairs And National Security Policy","eng"
"263","ethiopia_2007_ForeignAffairsAndNationalSecurityPolicy.pdf","ethiopia","2007","Foreign Affairs And National Security Policy","eng"
"264","eu_2003_EuropeanSecurityStrategy.pdf","eu","2003","European Security Strategy","eng"
"265","finland_2001_SecurityAndDefencePolicy.pdf","finland","2001","Security And Defence Policy","eng"
"266","finland_2004_SecurityAndDefencePolicy.pdf","finland","2004","Security And Defence Policy","eng"
"267","finland_2006_MinistryofDefenceStrategy.pdf","finland","2006","Ministryof Defence Strategy","eng"
